secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
101594,20180301,03783310,AAPL,3571,0,4,,0,314,172.66,179.775,178.54,175,48786440,-0.017516,28,5074013,31.36307
101594,20180302,03783310,AAPL,3571,0,4,,0,314,172.45,176.3,172.8,176.21,38445722,0.006914,28,5074013,31.36307
101594,20180305,03783310,AAPL,3571,0,4,,0,314,174.52,177.74,175.21,176.82,28396193,0.003462,28,5074013,31.36307
101594,20180306,03783310,AAPL,3571,0,4,,0,314,176.13,178.25,177.91,176.67,23759157,-0.000848,28,5074013,31.36307
101594,20180307,03783310,AAPL,3571,0,4,,0,314,174.27,175.85,174.94,175.03,31698931,-0.009283,28,5074013,31.36307
101594,20180308,03783310,AAPL,3571,0,4,,0,314,175.07,177.12,175.48,176.94,23765968,0.010912,28,5074013,31.36307
101594,20180309,03783310,AAPL,3571,0,4,,0,314,177.39,180,177.96,179.98,32179544,0.017181,28,5074013,31.36307
101594,20180312,03783310,AAPL,3571,0,4,,0,314,180.21,182.39,180.29,181.72,32201410,0.009668,28,5074013,31.36307
101594,20180313,03783310,AAPL,3571,0,4,,0,314,179.24,183.5,182.59,179.97,31685093,-0.00963,28,5074013,31.36307
101594,20180314,03783310,AAPL,3571,0,4,,0,314,177.81,180.52,180.32,178.44,29352120,-0.008501,28,5074013,31.36307
101594,20180315,03783310,AAPL,3571,0,4,,0,314,178.0701,180.24,178.5,178.65,22739868,0.001177,28,5074013,31.36307
101594,20180316,03783310,AAPL,3571,0,4,,0,314,177.62,179.12,178.65,178.02,39395885,-0.003526,28,5074013,31.36307
101594,20180319,03783310,AAPL,3571,0,4,,0,314,173.66,177.47,177.32,175.3,33443171,-0.015279,28,5074013,31.36307
101594,20180320,03783310,AAPL,3571,0,4,,0,314,174.94,176.8,175.24,175.24,19646851,-0.000342,28,5074013,31.36307
101594,20180321,03783310,AAPL,3571,0,4,,0,314,171.26,175.09,175.04,171.27,37045657,-0.022655,28,5074013,31.36307
101594,20180322,03783310,AAPL,3571,0,4,,0,314,168.6,172.68,170,168.85,41454805,-0.01413,28,5074013,31.36307
101594,20180323,03783310,AAPL,3571,0,4,,0,314,164.94,169.92,168.39,164.94,41022363,-0.023157,28,5074013,31.36307
101594,20180326,03783310,AAPL,3571,0,4,,0,314,166.44,173.1,168.07,172.77,37535740,0.047472,28,5074013,31.36307
101594,20180327,03783310,AAPL,3571,0,4,,0,314,166.92,175.15,173.68,168.34,40889318,-0.025641,28,5074013,31.36307
101594,20180328,03783310,AAPL,3571,0,4,,0,314,165.19,170.02,167.25,166.48,41662953,-0.011049,28,5074013,31.36307
101594,20180329,03783310,AAPL,3571,0,4,,0,314,166.9,171.75,167.805,167.78,38384183,0.007809,28,5074013,31.36307
